Sample Time [ns],Sensor Type,val1,val2,val3
92311829978206,1,-3.0917969,-9.46875,-0.7441406
92311839878206,1,-3.0546875,-9.4921875,-0.8378906
92311849778206,1,-3.0449219,-9.5546875,-0.8520508
92311859678206,1,-3.0019531,-9.4765625,-0.890625
92311869578206,1,-3.0058594,-9.46875,-0.84472656
92311879478206,1,-3.0605469,-9.671875,-0.7661133
92311889378206,1,-3.1035156,-9.8671875,-0.47875977
92311899278206,1,-3.1640625,-9.8828125,-0.07659912
92311909178206,1,-3.2597656,-9.8125,0
92311863399361,2,197,0,-310.75
92311919078206,1,-3.171875,-9.7578125,-0.22497559
92311873399361,2,198.75,0,-311.25
92311928978206,1,-3.0429688,-9.7734375,-0.48120117
92311883399361,2,198.75,0,-311.25
92311938878206,1,-3.0058594,-9.7734375,-0.5
92311893399361,2,199.25,0.5996094,-311.5
92311948778206,1,-3.0722656,-9.65625,-0.32080078
92311903399361,2,199.25,0.5996094,-311.5
92311958678206,1,-3.1835938,-9.59375,-0.15795898
92311913399361,2,199,0,-312.75
92311968578206,1,-3.1777344,-9.640625,-0.1986084
92311923399361,2,199,0,-312.75
92311978478206,1,-3.1289062,-9.609375,-0.3088379
92311933399361,2,198.375,0,-312
92311988378206,1,-3.0898438,-9.53125,-0.23217773
92311943399361,2,198.375,0,-312
92311998278206,1,-3.1230469,-9.5,-0.03829956
92311953399361,2,197.875,0.89990234,-312.25
92312008178206,1,-3.0078125,-9.4375,0.0071792603
92311963399361,2,198.25,-0.2998047,-311
92312018078206,1,-2.8554688,-9.734375,0.20349121
92311973399361,2,198.25,-0.2998047,-311
92311968530592,3,-0.8276367,-0.90234375,-0.49804688
92312027978206,1,-2.9550781,-10.1953125,0.66796875
92311983399361,2,197.5,0,-312.75
92311978530592,3,-0.66259766,-0.98535156,-0.5180664
92312037878206,1,-3.0351562,-10.046875,0.92626953
92311993399361,2,197.5,0,-312.75
92311988530592,3,-0.4765625,-1.0908203,-0.5317383
92312047778206,1,-2.9335938,-9.578125,0.99072266
92312003399361,2,197.5,-0.2998047,-311.5
92311998530592,3,-0.34155273,-1.1943359,-0.546875
92312057678206,1,-2.8574219,-9.4375,1.0478516
92312013399361,2,197.5,-0.2998047,-311.5
92312008530592,3,-0.3383789,-1.3085938,-0.56396484
92312067578206,1,-2.8164062,-9.4140625,0.9550781
92312023399361,2,197.25,0.2998047,-312.25
92312018530592,3,-0.45214844,-1.4238281,-0.57666016
