Sensor Type,Sample Time [ns],val1,val2,val3
a,92431109198521,-3.0585938,-9.1953125,0.2607422
a,92431119098521,-3.0546875,-9.21875,0.28466797
a,92431128998521,-3.0371094,-9.265625,0.28466797
a,92431138898521,-3.0488281,-9.3046875,0.2631836
a,92431148798521,-3.0566406,-9.3515625,0.27514648
a,92431158698521,-3.078125,-9.4453125,0.2944336
a,92431168598521,-3.0898438,-9.4921875,0.30151367
a,92431178498521,-3.0683594,-9.3984375,0.27270508
b,92431139022522,197.25,2.3984375,-318.25
a,92431188398521,-3.0878906,-9.3203125,0.31103516
b,92431149022522,197.25,2.6992188,-317.5
a,92431198298521,-3.1230469,-9.421875,0.34228516
b,92431159022522,197.25,2.6992188,-317.5
a,92431208198521,-3.1113281,-9.5,0.37573242
b,92431169022522,198.75,3.0,-319.75
a,92431218098521,-3.0644531,-9.5390625,0.4165039
b,92431179022522,198.75,3.0,-319.75
a,92431227998521,-3.0644531,-9.578125,0.4091797
b,92431189022522,197.875,2.3984375,-315.25
a,92431237898521,-3.1015625,-9.5078125,0.4309082
b,92431199022522,197.875,2.3984375,-315.25
a,92431247798521,-3.1035156,-9.484375,0.49072266
b,92431209022522,198.25,3.2988281,-317.5
a,92431257698521,-3.1015625,-9.6484375,0.62939453
b,92431219022522,198.25,3.2988281,-317.5
a,92431267598521,-3.0703125,-9.7265625,0.6772461
b,92431229022522,197.25,3.5996094,-316.5
a,92431277498521,-3.0117188,-9.765625,0.6821289
b,92431239022522,197.875,3.2988281,-317.0
a,92431287398521,-2.9707031,-9.8359375,0.7133789
b,92431249022522,197.875,3.2988281,-317.0
a,92431297298521,-2.9707031,-9.8359375,0.7133789
b,92431259022522,196.875,3.5996094,-315.75
w,92431248912906,-0.2479248,-0.24365234,-0.14782715
a,92431307198521,-2.9960938,-9.8046875,0.6894531
b,92431269022522,196.875,3.5996094,-315.75
w,92431258912906,-0.26049805,-0.28393555,-0.16918945
a,92431317098521,-3.0078125,-9.765625,0.6582031
b,92431279022522,198.125,2.3984375,-318.0
w,92431268912906,-0.28393555,-0.3203125,-0.1829834
a,92431326998521,-3.0136719,-9.796875,0.6152344
b,92431289022522,198.125,2.3984375,-318.0
w,92431278912906,-0.32861328,-0.35205078,-0.20324707
a,92431336898521,-2.9960938,-9.796875,0.5239258
b,92431299022522,196.75,2.6992188,-316.75
w,92431288912906,-0.32861328,-0.35205078,-0.20324707
a,92431346798521,-2.9589844,-9.90625,0.45947266
b,92431309022522,196.75,2.6992188,-316.75
w,92431298912906,-0.34692383,-0.36816406,-0.21911621
a,92431356698521,-3.0566406,-9.9296875,0.60058594
b,92431319022522,197.5,2.3984375,-315.75
w,92431308912906,-0.3840332,-0.39892578,-0.23400879
a,92431366598521,-3.078125,-9.7109375,0.6459961
b,92431329022522,197.25,2.3984375,-315.75
w,92431318912906,-0.43945312,-0.4404297,-0.25
a,92431376498521,-3.0878906,-9.6875,0.6894531
b,92431339022522,197.25,2.3984375,-315.75
w,92431328912906,-0.46069336,-0.48950195,-0.27026367
a,92431386398521,-3.1015625,-9.8359375,0.62939453
b,92431349022522,196.375,2.6992188,-316.0
w,92431338912906,-0.47021484,-0.54785156,-0.29052734
a,92431396298521,-3.1308594,-9.9296875,0.60546875
b,92431359022522,196.375,2.6992188,-316.0
w,92431348912906,-0.46069336,-0.60009766,-0.3137207
a,92431406198521,-3.2167969,-9.84375,0.63427734
b,92431369022522,196.5,3.5996094,-316.5
w,92431358912906,-0.43310547,-0.6328125,-0.3190918
a,92431416098521,-3.2675781,-9.8359375,0.69384766
b,92431379022522,196.5,3.5996094,-316.5
w,92431368912906,-0.38623047,-0.65625,-0.3244629
a,92431425998521,-3.2480469,-10.078125,0.69628906
b,92431389022522,197.875,2.3984375,-315.75
w,92431378912906,-0.33081055,-0.67333984,-0.34155273
a,92431435898521,-3.2714844,-10.15625,0.890625
b,92431399022522,197.875,2.3984375,-315.75
w,92431388912906,-0.2722168,-0.6948242,-0.35864258
a,92431445798521,-3.2949219,-9.9375,0.9863281
b,92431409022522,197.0,2.6992188,-315.5
w,92431398912906,-0.26391602,-0.71728516,-0.3786621
a,92431455698521,-3.2890625,-9.75,0.8378906
b,92431419022522,197.875,1.1992188,-316.5
w,92431408912906,-0.29785156,-0.7470703,-0.4033203
a,92431465598521,-3.1953125,-9.84375,0.72265625
b,92431429022522,197.875,1.1992188,-316.5
w,92431418912906,-0.34570312,-0.7832031,-0.42333984
a,92431475498521,-3.0644531,-9.90625,0.6821289
b,92431439022522,196.125,1.5,-315.75
w,92431428912906,-0.43188477,-0.8022461,-0.43725586
a,92431485398521,-3.0078125,-9.703125,0.5214844
b,92431449022522,196.125,1.5,-315.75
w,92431438912906,-0.5576172,-0.79248047,-0.4416504
a,92431495298521,-2.9941406,-9.703125,0.33496094
b,92431459022522,196.875,3.0,-317.0
w,92431448912906,-0.63623047,-0.76708984,-0.43823242
a,92431505198521,-2.8847656,-9.9296875,0.19152832
b,92431469022522,196.875,3.0,-317.0
w,92431458912906,-0.6308594,-0.74902344,-0.4362793
a,92431515098521,-2.78125,-10.2421875,0.16040039
b,92431479022522,197.0,2.6992188,-314.25
w,92431468912906,-0.5317383,-0.7392578,-0.43945312
a,92431524998521,-2.7617188,-10.21875,-0.12927246
b,92431489022522,197.0,2.6992188,-314.25
w,92431478912906,-0.4074707,-0.7285156,-0.44360352
a,92431534898521,-2.7675781,-9.984375,-0.37817383
b,92431499022522,195.25,2.0996094,-316.0
w,92431488912906,-0.26708984,-0.7338867,-0.43310547
a,92431544798521,-2.7070312,-9.4296875,-0.51464844
b,92431509022522,195.25,2.0996094,-316.0
w,92431498912906,-0.17016602,-0.75439453,-0.4255371
a,92431554698521,-2.796875,-9.1015625,-0.30395508
b,92431519022522,196.125,2.6992188,-314.0
w,92431508912906,-0.12237549,-0.80126953,-0.42236328
a,92431564598521,-2.8457031,-9.1484375,-0.22973633
b,92431529022522,196.75,2.6992188,-318.0
w,92431518912906,-0.20007324,-0.8647461,-0.44262695
a,92431574498521,-2.8789062,-9.0859375,-0.21057129
b,92431539022522,196.75,2.6992188,-318.0
w,92431528912906,-0.36694336,-0.9296875,-0.43725586
a,92431584398521,-2.7851562,-9.0078125,-0.49780273
b,92431549022522,195.875,2.6992188,-315.25
w,92431538912906,-0.56396484,-0.984375,-0.4255371
a,92431594298521,-2.5585938,-9.078125,-0.86621094
b,92431559022522,195.875,2.6992188,-315.25
w,92431548912906,-0.7182617,-1.0107422,-0.42016602
a,92431604198521,-2.5800781,-9.5,-1.1914062
b,92431569022522,197.25,2.6992188,-313.5
w,92431558912906,-0.7573242,-1.0039062,-0.39672852
a,92431614098521,-2.8671875,-9.7890625,-1.0791016
b,92431579022522,197.25,2.6992188,-313.5
w,92431568912906,-0.68603516,-0.99072266,-0.35864258
a,92431623998521,-3.2285156,-10.0546875,-0.6772461
b,92431589022522,196.125,2.0996094,-315.25
w,92431578912906,-0.5307617,-0.98095703,-0.34033203
a,92431633898521,-3.5449219,-10.2890625,-0.5839844
b,92431599022522,196.125,2.0996094,-315.25
w,92431588912906,-0.38720703,-0.9638672,-0.34692383
a,92431643798521,-3.5527344,-10.2734375,-0.47387695
b,92431609022522,196.75,2.3984375,-315.0
w,92431598912906,-0.33398438,-0.9501953,-0.35107422
a,92431653698521,-3.3632812,-10.109375,-0.2919922
b,92431619022522,195.625,2.0996094,-313.75
w,92431608912906,-0.3371582,-0.9375,-0.37768555
a,92431663598521,-3.0644531,-10.1484375,-0.24169922
b,92431629022522,195.625,2.0996094,-313.75
w,92431618912906,-0.3095703,-0.92578125,-0.4033203
a,92431673498521,-2.6972656,-10.1875,-0.17944336
b,92431639022522,196.125,2.0996094,-315.25
w,92431628912906,-0.34472656,-0.93115234,-0.44482422
a,92431683398521,-2.2597656,-10.0859375,-0.2705078
b,92431649022522,196.125,2.0996094,-315.25
w,92431638912906,-0.45532227,-0.9394531,-0.5053711
a,92431693298521,-1.953125,-10.0078125,-0.2800293
b,92431659022522,196.375,2.3984375,-314.25
w,92431648912906,-0.5859375,-0.9682617,-0.5288086
a,92431703198521,-1.8330078,-9.8828125,-0.23217773
b,92431669022522,196.375,2.3984375,-314.25
w,92431658912906,-0.7104492,-1.0175781,-0.5307617
a,92431713098521,-1.890625,-9.8359375,-0.59814453
b,92431679022522,196.75,1.7998047,-314.25
w,92431668912906,-0.7661133,-1.0722656,-0.546875
a,92431722998521,-1.9121094,-9.8671875,-0.7133789
b,92431689022522,196.75,1.7998047,-314.25
w,92431678912906,-0.7861328,-1.1523438,-0.55859375
a,92431732898521,-1.8427734,-9.6796875,-0.7397461
b,92431699022522,196.125,1.7998047,-313.5
